"","BOOK","DATE","ENVIRONMENT","PLOT","REP","INSTN","NTP","Plant_Vigor","SE","NPH","PPH","NMTP","MTWPL","MTYNA","MTYA","Tuber_Apper","ATMW","AVDM","Chip_Color","Column1"
"46","PTYield_CIPHQ","11/09/2003","CIPHQ",46,2,"CIP397035.26",10,8,4,10,100,159,23.2495,2.32495,86.1092592592593,86.1092592592592,5,146.223270440252,16.39,NA
"47","PTYield_CIPHQ","11/09/2003","CIPHQ",47,2,"CIP397029.21",10,7,5,10,100,205,18,1.8,66.6666666666667,66.6666666666666,6,87.8048780487805,16.39,NA
"48","PTYield_CIPHQ","11/09/2003","CIPHQ",48,2,"CIP397016.7",10,6,5,10,100,80,12.56,1.256,46.5185185185185,46.5185185185185,5,157,17.58,NA
"49","PTYield_CIPHQ","11/09/2003","CIPHQ",49,2,"CIP397055.2",10,5,7,10,100,84,8.34,0.834,30.8888888888889,30.8888888888889,5,99.2857142857143,15.15,NA
"50","PTYield_CIPHQ","11/09/2003","CIPHQ",50,2,"CIP397098.12",10,7,7,9,90,103,15.63,1.73666666666667,57.8888888888889,64.3209876543209,5,151.747572815534,17.01,NA
"51","PTYield_CIPHQ","11/09/2003","CIPHQ",51,2,"CIP397036.7",10,5,6,9,90,70,10.64,1.18222222222222,39.4074074074074,43.7860082304526,5,152,15.15,NA
"52","PTYield_CIPHQ","11/09/2003","CIPHQ",52,2,"CIP397054.3",10,7,5,10,100,144,20.192,2.0192,74.7851851851852,74.7851851851851,5,140.222222222222,16.12,NA
"53","PTYield_CIPHQ","11/09/2003","CIPHQ",53,2,"CIP397014.2",10,5,5,10,100,112,12.27,1.227,45.4444444444444,45.4444444444444,5,109.553571428571,17.09,NA
"54","PTYield_CIPHQ","11/09/2003","CIPHQ",54,2,"CIP380389.1",10,9,5,10,100,193,15.845,1.5845,58.6851851851852,58.6851851851851,5,82.0984455958549,17.23,NA
"55","PTYield_CIPHQ","11/09/2003","CIPHQ",55,2,"CIP800048",10,5,7,8,80,61,6.685,0.835625,24.7592592592593,30.949074074074,5,109.590163934426,17.09,NA
"56","PTYield_CIPHQ","11/09/2003","CIPHQ",56,2,"CIP392797.22",10,7,6,10,100,89,16.3115,1.63115,60.412962962963,60.4129629629629,5,183.275280898876,17.29,NA
"57","PTYield_CIPHQ","11/09/2003","CIPHQ",57,3,"CIP397006.18",10,5,7,10,100,87,11.6,1.16,42.962962962963,42.9629629629629,5,133.333333333333,15.58,NA
"58","PTYield_CIPHQ","11/09/2003","CIPHQ",58,3,"CIP397012.22",10,7,6,10,100,126,14.79,1.479,54.7777777777778,54.7777777777777,5,117.380952380952,16.15,NA
"59","PTYield_CIPHQ","11/09/2003","CIPHQ",59,3,"CIP397030.31",10,8,5,10,100,187,19.05,1.905,70.5555555555556,70.5555555555555,5,101.871657754011,15.33,NA
"60","PTYield_CIPHQ","11/09/2003","CIPHQ",60,3,"CIP397065.28",10,9,6,10,100,78,19.48,1.948,72.1481481481481,72.1481481481481,5,249.74358974359,16.09,NA
"61","PTYield_CIPHQ","11/09/2003","CIPHQ",61,3,"CIP397079.26",10,9,6,10,100,86,20.53,2.053,76.037037037037,76.037037037037,5,238.720930232558,17.08,NA
"62","PTYield_CIPHQ","11/09/2003","CIPHQ",62,3,"CIP397100.9",10,5,7,9,90,76,9.5,1.05555555555556,35.1851851851852,39.0946502057613,5,125,15.1,NA
"63","PTYield_CIPHQ","11/09/2003","CIPHQ",63,3,"CIP397060.19",10,7,7,10,100,63,13.48,1.348,49.9259259259259,49.9259259259259,5,213.968253968254,17.08,NA
"64","PTYield_CIPHQ","11/09/2003","CIPHQ",64,3,"CIP397069.11",10,7,6,10,100,94,11.9,1.19,44.0740740740741,44.074074074074,5,126.595744680851,17.09,NA
"65","PTYield_CIPHQ","11/09/2003","CIPHQ",65,3,"CIP397099.6",10,7,5,10,100,76,13.6,1.36,50.3703703703704,50.3703703703703,5,178.947368421053,17.07,NA
"66","PTYield_CIPHQ","11/09/2003","CIPHQ",66,3,"CIP397065.2",10,7,5,10,100,87,12.65,1.265,46.8518518518518,46.8518518518518,5,145.402298850575,17.38,NA
"67","PTYield_CIPHQ","11/09/2003","CIPHQ",67,3,"CIP397073.7",10,6,6,10,100,113,11.34,1.134,42,42,5,100.353982300885,16.99,NA
"68","PTYield_CIPHQ","11/09/2003","CIPHQ",68,3,"CIP397078.12",10,5,3,10,100,152,13.14,1.314,48.6666666666667,48.6666666666666,5,86.4473684210526,16.9,NA
"69","PTYield_CIPHQ","11/09/2003","CIPHQ",69,3,"CIP397079.6",10,5,5,10,100,94,16.78,1.678,62.1481481481482,62.1481481481481,5,178.510638297872,16.1,NA
"70","PTYield_CIPHQ","11/09/2003","CIPHQ",70,3,"CIP397012.20",10,7,4,10,100,122,21.25,2.125,78.7037037037037,78.7037037037036,5,174.180327868852,14.49,NA
"71","PTYield_CIPHQ","11/09/2003","CIPHQ",71,3,"CIP397077.16",10,7,7,10,100,84,9.81,0.981,36.3333333333333,36.3333333333333,5,116.785714285714,17.89,NA
"72","PTYield_CIPHQ","11/09/2003","CIPHQ",72,3,"CIP397073.15",10,7,7,10,100,98,11.92,1.192,44.1481481481481,44.1481481481481,5,121.632653061224,17.07,NA
"73","PTYield_CIPHQ","11/09/2003","CIPHQ",73,3,"CIP397067.2",10,6,7,10,100,61,8.5,0.85,31.4814814814815,31.4814814814814,5,139.344262295082,17.47,NA
"74","PTYield_CIPHQ","11/09/2003","CIPHQ",74,3,"CIP397035.26",10,7,5,10,100,114,17.45,1.745,64.6296296296296,64.6296296296296,5,153.070175438596,16.47,NA
"75","PTYield_CIPHQ","11/09/2003","CIPHQ",75,3,"CIP397029.21",10,7,5,10,100,166,16.49,1.649,61.0740740740741,61.074074074074,6,99.3373493975904,16.4,NA
"76","PTYield_CIPHQ","11/09/2003","CIPHQ",76,3,"CIP397016.7",10,7,5,10,100,71,12.1,1.21,44.8148148148148,44.8148148148148,5,170.422535211268,17.98,NA
"77","PTYield_CIPHQ","11/09/2003","CIPHQ",77,3,"CIP397055.2",10,5,6,10,100,110,14.15,1.415,52.4074074074074,52.4074074074074,5,128.636363636364,15.36,NA
"78","PTYield_CIPHQ","11/09/2003","CIPHQ",78,3,"CIP397098.12",10,7,7,10,100,112,14.34,1.434,53.1111111111111,53.1111111111111,5,128.035714285714,17.45,NA
"79","PTYield_CIPHQ","11/09/2003","CIPHQ",79,3,"CIP397036.7",10,5,5,10,100,177,17.5,1.75,64.8148148148148,64.8148148148148,5,98.8700564971751,15.25,NA
"80","PTYield_CIPHQ","11/09/2003","CIPHQ",80,3,"CIP397054.3",10,8,6,7,70,136,18.55,2.65,68.7037037037037,98.148148148148,5,136.397058823529,16.1,NA
"81","PTYield_CIPHQ","11/09/2003","CIPHQ",81,3,"CIP397014.2",10,5,6,9,90,103,13.88,1.54222222222222,51.4074074074074,57.119341563786,5,134.757281553398,17.1,NA
"82","PTYield_CIPHQ","11/09/2003","CIPHQ",82,3,"CIP380389.1",10,8,5,10,100,231,18.65,1.865,69.0740740740741,69.074074074074,5,80.7359307359307,17.33,NA
"83","PTYield_CIPHQ","11/09/2003","CIPHQ",83,3,"CIP800048",10,5,7,10,100,50,6.76,0.676,25.037037037037,25.037037037037,5,135.2,17.03,NA
"84","PTYield_CIPHQ","11/09/2003","CIPHQ",84,3,"CIP392797.22",10,7,6,10,100,81,16.3,1.63,60.3703703703704,60.3703703703703,5,201.234567901235,17.34,NA
"85","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",1,1,"CIP397006.18",10,6,6,10,100,21,3.25,0.325,12.037037037037,12.037037037037,6,154.761904761905,14.5429843183921,3
"86","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",2,1,"CIP397012.22",10,5,7,10,100,53,4.7,0.47,17.4074074074074,17.4074074074074,5,88.6792452830189,15.56,3
"87","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",3,1,"CIP397030.31",10,4,4,5,50,10,0.6,0.12,2.22222222222222,4.44444444444444,4,60,15.57,5
"88","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",4,1,"CIP397065.28",10,5,5,10,100,38,3.6,0.36,13.3333333333333,13.3333333333333,4,94.7368421052632,18.09,4
"89","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",5,1,"CIP397079.26",10,5,5,10,100,29,4,0.4,14.8148148148148,14.8148148148148,4,137.931034482759,15.6,5
"90","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",6,1,"CIP397100.9",10,6,7,9,90,28,4.6,0.511111111111111,17.037037037037,18.9300411522634,6,164.285714285714,13.93,4
"91","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",7,1,"CIP397060.19",10,4,4,10,100,13,1.42,0.142,5.25925925925926,5.25925925925925,5,109.230769230769,14.94,3
"92","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",8,1,"CIP397069.11",10,5,5,9,90,33,3.55,0.394444444444444,13.1481481481481,14.6090534979424,5,107.575757575758,16.98,4
"93","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",9,1,"CIP397099.6",10,5,6,10,100,26,4.15,0.415,15.3703703703704,15.3703703703704,4,159.615384615385,16.23,4
"94","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",10,1,"CIP397065.2",10,7,6,10,100,31,3.08,0.308,11.4074074074074,11.4074074074074,4,99.3548387096774,16.98,4
"95","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",11,1,"CIP397073.7",10,8,7,10,100,46,4.84,0.484,17.9259259259259,17.9259259259259,4,105.217391304348,16.5016501650165,3
"96","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",12,1,"CIP397078.12",10,4,3,10,100,19,0.96,0.096,3.55555555555556,3.55555555555555,4,50.5263157894737,15.89,4
"97","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",13,1,"CIP397079.6",10,6,6,9,90,25,3.2,0.355555555555556,11.8518518518519,13.1687242798354,4,128,15.58,4
"98","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",14,1,"CIP397012.20",10,7,6,10,100,38,5.98,0.598,22.1481481481481,22.1481481481481,5,157.368421052632,13.47,4
"99","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",15,1,"CIP397077.16",10,7,7,10,100,33,3.4,0.34,12.5925925925926,12.5925925925926,6,103.030303030303,16.54,3
"100","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",16,1,"CIP397073.15",10,7,7,10,100,40,5.4,0.54,20,20,6,135,16.05,3
"101","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",17,1,"CIP397067.2",10,7,7,10,100,33,4.5,0.45,16.6666666666667,16.6666666666667,6,136.363636363636,16.021,4
"102","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",18,1,"CIP397035.26",10,7,6,10,100,40,5.8,0.58,21.4814814814815,21.4814814814815,5,145,16.78,3
"103","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",19,1,"CIP397029.21",10,4,5,10,100,31,3.9,0.39,14.4444444444444,14.4444444444444,5,125.806451612903,16.7898,3
"104","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",20,1,"CIP397016.7",10,7,5,10,100,37,4.1,0.41,15.1851851851852,15.1851851851852,6,110.810810810811,16.765,3
"105","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",21,1,"CIP397055.2",10,6,6,10,100,37,4.5,0.45,16.6666666666667,16.6666666666667,5,121.621621621622,13.98,4
"106","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",22,1,"CIP397098.12",10,7,5,10,100,26,3.5,0.35,12.962962962963,12.9629629629629,7,134.615384615385,16.8765,3
"107","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",23,1,"CIP397036.7",10,7,7,10,100,28,5.1,0.51,18.8888888888889,18.8888888888889,7,182.142857142857,14.86,4
"108","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",24,1,"CIP397054.3",10,7,7,10,100,18,3.1,0.31,11.4814814814815,11.4814814814815,6,172.222222222222,13.9567,3
"109","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",25,1,"CIP397014.2",10,8,7,10,100,42,5.5,0.55,20.3703703703704,20.3703703703703,7,130.952380952381,15.0045,3
"110","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",26,1,"CIP380389.1",10,5,4,10,100,10,1.8,0.18,6.66666666666667,6.66666666666666,4,180,15.9867,4
"111","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",27,1,"CIP800048",10,4,4,9,90,24,2.55,0.283333333333333,9.44444444444444,10.4938271604938,5,106.25,14.754,4
"112","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",28,1,"CIP392797.22",10,7,7,10,100,43,5.5,0.55,20.3703703703704,20.3703703703703,6,127.906976744186,15.55,4
"113","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",29,2,"CIP397006.18",10,5,6,9,90,34,3.6,0.4,13.3333333333333,14.8148148148148,6,105.882352941176,13.2879288298051,3
"114","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",30,2,"CIP397012.22",10,5,6,10,100,29,3.8,0.38,14.0740740740741,14.0740740740741,5,131.034482758621,14.98,3
"115","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",31,2,"CIP397030.31",10,4,4,3,30,14,0.75,0.25,2.77777777777778,9.25925925925925,4,53.5714285714286,16.055,5
"116","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",32,2,"CIP397065.28",10,6,7,10,100,34,5.08,0.508,18.8148148148148,18.8148148148148,5,149.411764705882,16.345,3
"117","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",33,2,"CIP397079.26",10,7,7,10,100,57,8.2,0.82,30.3703703703704,30.3703703703703,5,143.859649122807,16.98,4
"118","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",34,2,"CIP397100.9",10,6,6,10,100,20,2.7,0.27,10,9.99999999999999,7,135,13.5214626391097,4
"119","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",35,2,"CIP397060.19",10,6,6,10,100,18,2.3,0.23,8.51851851851852,8.51851851851851,5,127.777777777778,13.76,4
"120","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",36,2,"CIP397069.11",10,5,6,9,90,24,2.6,0.288888888888889,9.62962962962963,10.6995884773662,5,108.333333333333,13.95,3
"121","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",37,2,"CIP397099.6",10,6,6,10,100,30,5.1,0.51,18.8888888888889,18.8888888888889,4,170,15.34,3
"122","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",38,2,"CIP397065.2",10,8,7,10,100,25,3.7,0.37,13.7037037037037,13.7037037037037,5,148,16.1344,3
"123","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",39,2,"CIP397073.7",10,7,7,10,100,46,5.2,0.52,19.2592592592593,19.2592592592592,6,113.04347826087,16.98,4
"124","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",40,2,"CIP397078.12",10,7,6,10,100,40,4.5,0.45,16.6666666666667,16.6666666666667,5,112.5,15.64,3
"125","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",41,2,"CIP397079.6",10,6,6,10,100,25,3.3,0.33,12.2222222222222,12.2222222222222,5,132,14.07,3
"126","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",42,2,"CIP397012.20",10,6,6,10,100,40,6.6,0.66,24.4444444444444,24.4444444444444,6,165,13.8536343227175,3
"127","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",43,2,"CIP397077.16",10,7,7,10,100,40,4.54,0.454,16.8148148148148,16.8148148148148,6,113.5,15.978,2
"128","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",44,2,"CIP397073.15",10,6,6,9,90,42,5.05,0.561111111111111,18.7037037037037,20.7818930041152,7,120.238095238095,13.41,3
"129","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",45,2,"CIP397067.2",10,7,7,10,100,48,5.2,0.52,19.2592592592593,19.2592592592592,7,108.333333333333,17.075,4
"130","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",46,2,"CIP397035.26",10,6,6,10,100,46,5.5,0.55,20.3703703703704,20.3703703703703,5,119.565217391304,15.839,4
"131","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",47,2,"CIP397029.21",10,5,6,10,100,18,2.65,0.265,9.81481481481481,9.8148148148148,4,147.222222222222,15.65,3
"132","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",48,2,"CIP397016.7",10,7,6,10,100,30,3.2,0.32,11.8518518518519,11.8518518518518,6,106.666666666667,16.65,3
"133","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",49,2,"CIP397055.2",10,7,6,10,100,37,4.3,0.43,15.9259259259259,15.9259259259259,6,116.216216216216,13.024,4
"134","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",50,2,"CIP397098.12",10,6,6,10,100,48,3.5,0.35,12.962962962963,12.9629629629629,6,72.9166666666667,16.035,4
"135","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",51,2,"CIP397036.7",10,7,7,10,100,30,5.5,0.55,20.3703703703704,20.3703703703703,7,183.333333333333,14.857,3
"136","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",52,2,"CIP397054.3",10,7,6,10,100,30,4.3,0.43,15.9259259259259,15.9259259259259,5,143.333333333333,15.936,4
"137","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",53,2,"CIP397014.2",10,7,5,10,100,34,5.1,0.51,18.8888888888889,18.8888888888889,7,150,14.0023,4
"138","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",54,2,"CIP380389.1",10,6,6,10,100,25,1.9,0.19,7.03703703703704,7.03703703703703,4,76,15.58,3
"139","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",55,2,"CIP800048",10,5,7,10,100,25,2.1,0.21,7.77777777777778,7.77777777777777,7,84,13.1515220440681,3
"140","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",56,2,"CIP392797.22",10,7,6,10,100,50,4.68,0.468,17.3333333333333,17.3333333333333,6,93.6,13.789,3
"141","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",57,3,"CIP397006.18",10,6,6,10,100,33,4.1,0.41,15.1851851851852,15.1851851851852,7,124.242424242424,13.4765740986,3
"142","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",58,3,"CIP397012.22",10,7,6,10,100,44,4.5,0.45,16.6666666666667,16.6666666666667,6,102.272727272727,15.55,3
"143","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",59,3,"CIP397030.31",10,4,4,3.57894736842105,35.7894736842105,10,0.68,0.19,2.51851851851852,7.03703703703703,5,68,15.81,5
"144","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",60,3,"CIP397065.28",10,7,7,10,100,52,6.9,0.69,25.5555555555556,25.5555555555555,5,132.692307692308,15.98,3
"145","PTYield_CIPSRM-1","16/08/2002","CIPSRM-1",61,3,"CIP397079.26",10,6,7,10,100,50,7.2,0.72,26.6666666666667,26.6666666666666,5,144,15.73,4
